# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
13066.9000 w25 655179 1 12364.9000 n174 n73 93 N n174->n73
13129.1000 w436 624726 1 275.1000 n176 n152 295 N n176->n152
13194.5000 e40 601253 1 1284.5000 p201 p202 278 N p201->p202
13205.0000 e38 523458 1 1921.0000 p205 p208 267 N p205->p208
13284.7000 w230 817172 1 6499.7000 n27 n43 191 N n27->n43
13411.3000 w321 982459 1 4009.3000 n133 n146 233 N n133->n146
13414.7000 w210 861170 1 7234.7000 n103 n80 179 N n103->n80
13417.8000 e44 615945 1 393.8000 p204 p207 293 N p204->p207
13420.5000 e45 672918 1 121.5000 p207 p204 297 N p207->p204
13461.0000 w297 684147 1 4758.0000 n149 n189 220 N n149->n189
13463.7000 w55 983089 1 11871.7000 n123 n155 102 N n123->n155
13556.1000 w350 963397 1 3265.1000 n160 n179 245 N n160->n179
13630.5000 w209 611177 1 7480.5000 n12 n24 175 N n12->n24
13632.0000 e43 941409 1 910.0000 p205 p204 284 N p205->p204
13755.9000 w134 802899 1 9840.9000 n144 n80 135 N n144->n80
13812.5000 w319 650461 1 4469.5000 n161 n137 225 N n161->n137
13884.0000 w447 696290 1 708.0000 n22 n193 288 N n22->n193
13948.3000 w429 931085 1 1305.3000 n181 n12 278 N n181->n12
14006.0000 w233 769142 1 7140.0000 n111 n174 180 N n111->n174
14037.1000 w196 895436 1 8273.1000 n3 n189 162 N n3->n189
14100.3000 w36 858890 1 13074.3000 n97 n129 82 N n97->n129
14175.4000 w64 707335 1 12320.4000 n90 n29 94 N n90->n29
14183.9000 w444 752895 1 1099.9000 n170 n31 281 N n170->n31
14320.8000 w94 998594 1 11583.8000 n125 n180 106 N n125->n180
14384.1000 w415 782017 1 2146.1000 n38 n0 264 N n38->n0
14444.4000 w170 874179 1 9468.4000 n139 n38 142 N n139->n38
14465.8000 w89 522073 1 11870.8000 n133 n61 102 N n133->n61
14471.0000 e46 524688 1 918.0000 p208 p207 284 N p208->p207
14473.3000 e47 554601 1 649.3000 p208 p207 289 N p208->p207
14646.9000 w280 864751 1 6406.9000 n155 n181 193 N n155->n181
14656.0000 w343 627757 1 4586.0000 n47 n179 223 N n47->n179
14682.4000 e39 755076 1 3090.4000 p200 p206 248 N p200->p206
14746.4000 e49 613224 1 320.4000 p205 p202 294 N p205->p202
14751.7000 w339 622306 1 4812.7000 n84 n114 219 N n84->n114
14794.5000 w471 994376 1 920.5000 n84 n49 284 N n84->n49
14797.6000 w57 828635 1 13141.6000 n102 n60 80 N n102->n60
14805.1000 w73 850933 1 12677.1000 n190 n84 88 N n190->n84
14820.6000 w131 985054 1 10988.6000 n62 n78 116 N n62->n78
14958.1000 w60 803675 1 13218.1000 n16 n10 79 N n16->n10
14977.5000 w492 600647 1 485.5000 n141 n145 291 N n141->n145
15115.5000 e48 878350 1 1010.5000 p204 p205 283 N p204->p205
15119.2000 e37 921553 1 4137.2000 p201 p204 231 N p201->p204
15158.2000 w32 515884 1 14254.2000 n6 n17 62 N n6->n17
15235.9000 w318 509762 1 5918.9000 n153 n3 201 N n153->n3
15348.4000 w254 895876 1 7881.4000 n172 n79 168 N n172->n79
15351.4000 e41 543139 1 3164.4000 p200 p204 247 N p200->p204
15567.4000 w112 840772 1 12282.4000 n177 n2 95 N n177->n2
15660.0000 w132 970953 1 11799.0000 n161 n106 103 N n161->n106
15816.6000 w9 885299 1 15569.6000 n67 n138 40 N n67->n138
15874.2000 w391 501385 1 4350.2000 n23 n106 227 N n23->n106
16019.9000 w194 842198 1 10314.9000 n171 n110 128 N n171->n110
16117.4000 w148 708456 1 11802.4000 n16 n31 103 N n16->n31
16157.3000 w407 777530 1 4157.3000 n139 n85 230 N n139->n85
16280.0000 w440 859981 1 3310.0000 n169 n41 244 N n169->n41
16319.7000 w311 944060 1 7205.7000 n61 n73 179 N n61->n73
16352.3000 w157 663547 1 11774.3000 n109 n73 103 N n109->n73
16363.9000 w68 763067 1 14389.9000 n137 n165 60 N n137->n165
16458.8000 w535 744061 1 690.8000 n17 n115 288 N n17->n115
16516.4000 w284 986739 1 8165.4000 n14 n105 163 N n14->n105
16562.3000 w227 519385 1 9869.3000 n11 n124 135 N n11->n124
16577.8000 e55 993752 1 370.8000 p206 p203 293 N p206->p203
16608.3000 w314 620323 1 7408.3000 n35 n165 176 N n35->n165
16639.5000 w107 784688 1 13510.5000 n101 n84 74 N n101->n84
16734.7000 w461 838503 1 3152.7000 n28 n120 247 N n28->n120
16856.9000 w459 772305 1 3332.9000 n186 n171 244 N n186->n171
16910.9000 w177 662838 1 11723.9000 n23 n165 104 N n23->n165
17425.7000 w424 897126 1 4927.7000 n31 n64 217 N n31->n64
17451.6000 e57 530032 1 627.6000 p201 p205 289 N p201->p205
17466.3000 w513 965798 1 2357.3000 n193 n133 260 N n193->n133
17516.8000 w276 532197 1 9385.8000 n37 n114 143 N n37->n114
17580.2000 e50 573551 1 2811.2000 p200 p207 253 N p200->p207
17582.8000 e51 643390 1 2528.8000 p200 p207 257 N p200->p207
