# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
33658.9000 w598 885007 1 16019.9000 n55 n193 33 N n55->n193
33716.4000 e112 620737 1 379.4000 p200 p207 293 N p200->p207
33730.1000 e113 731231 1 138.1000 p203 p206 297 N p203->p206
33916.7000 w692 584771 1 13519.7000 n111 n133 74 N n111->n133
33947.5000 w1131 543979 1 672.5000 n4 n178 288 N n4->n178
33982.4000 e114 785083 1 84.4000 p200 p206 298 N p200->p206
34184.6000 e115 629568 1 2.6000 p203 p206 299 N p203->p206
34303.8000 w855 833372 1 9122.8000 n144 n152 147 N n144->n152
34519.6000 e102 678784 1 4275.6000 p202 p208 228 N p202->p208
34641.4000 w621 583118 1 16326.4000 n105 n88 27 N n105->n88
34677.8000 w762 595057 1 12195.8000 n123 n25 96 N n123->n25
34770.9000 e116 651641 1 251.9000 p208 p206 295 N p208->p206
34783.8000 w1097 897074 1 2495.8000 n88 n140 258 N n88->n140
34823.4000 w915 830835 1 7896.4000 n136 n195 168 N n136->n195
34853.6000 e117 879634 1 3.6000 p208 p205 299 N p208->p205
34883.1000 w1100 724863 1 2514.1000 n30 n115 258 N n30->n115
34933.2000 w1164 751037 1 651.2000 n53 n60 289 N n53->n60
34987.7000 e105 920774 1 3827.7000 p204 p203 236 N p204->p203
34999.5000 w668 514530 1 15291.5000 n152 n98 45 N n152->n98
35015.8000 w1189 689059 1 2.8000 n184 n163 299 N n184->n163
35022.3000 w649 677660 1 15867.3000 n9 n104 35 N n9->n104
35035.0000 w850 997099 1 9995.0000 n56 n194 133 N n56->n194
35175.2000 e110 621466 1 2434.2000 p202 p204 259 N p202->p204
35238.6000 w1062 853974 1 3981.6000 n148 n111 233 N n148->n111
35283.2000 w1118 833490 1 2392.2000 n126 n98 260 N n126->n98
35376.1000 w652 939090 1 16136.1000 n111 n169 31 N n111->n169
35456.6000 w922 777400 1 8323.6000 n167 n126 161 N n167->n126
35469.4000 w1044 852379 1 4750.4000 n28 n169 220 N n28->n169
35483.7000 w924 788647 1 8287.7000 n25 n110 161 N n25->n110
35516.0000 w749 656903 1 13419.0000 n41 n119 76 N n41->n119
35532.7000 w811 723612 1 11620.7000 n26 n166 106 N n26->n166
35541.2000 w1141 500542 1 1961.2000 n94 n82 267 N n94->n82
35551.7000 w757 691071 1 13215.7000 n163 n166 79 N n163->n166
35559.0000 w1178 601886 1 859.0000 n198 n121 285 N n198->n121
35563.9000 w965 975619 1 7187.9000 n94 n16 180 N n94->n16
35627.1000 w1060 783947 1 4431.1000 n78 n135 226 N n78->n135
35765.7000 w899 958006 1 9303.7000 n95 n171 144 N n95->n171
35826.0000 w1028 986868 1 5576.0000 n30 n73 207 N n30->n73
35847.4000 e100 875802 1 6169.4000 p205 p201 197 N p205->p201
35870.2000 w817 662976 1 11779.2000 n157 n23 103 N n157->n23
35874.2000 e120 738761 1 106.2000 p201 p202 298 N p201->p202
35878.2000 e101 984894 1 5911.2000 p202 p200 201 N p202->p200
35902.1000 w1115 518338 1 3108.1000 n197 n33 248 N n197->n33
35964.7000 e108 586225 1 3852.7000 p208 p201 235 N p208->p201
35969.3000 w1005 877182 1 6395.3000 n94 n170 193 N n94->n170
35985.8000 w1180 687242 1 1231.8000 n87 n155 279 N n87->n155
36145.2000 w1214 797595 1 358.2000 n167 n106 294 N n167->n106
36405.0000 w971 904586 1 7838.0000 n43 n83 169 N n43->n83
36495.3000 w877 751684 1 10671.3000 n129 n147 122 N n129->n147
36497.3000 e118 550809 1 1340.3000 p204 p203 277 N p204->p203
36581.7000 e111 786032 1 3517.7000 p204 p202 241 N p204->p202
36602.6000 w1187 791549 1 1643.6000 n30 n126 272 N n30->n126
36616.5000 w722 709673 1 15321.5000 n86 n77 44 N n86->n77
36663.8000 e122 579191 1 349.8000 p207 p206 294 N p207->p206
36703.0000 w925 753620 1 9479.0000 n5 n77 142 N n5->n77
36826.9000 w1183 874087 1 1984.9000 n81 n99 266 N n81->n99
36839.0000 w927 585461 1 9555.0000 n172 n141 140 N n172->n141
36847.8000 w1185 598162 1 1949.8000 n86 n104 267 N n86->n104
36881.2000 w752 883194 1 14694.2000 n157 n154 55 N n157->n154
36935.4000 w1166 733038 1 2593.4000 n167 n140 256 N n167->n140
36974.2000 w1142 694616 1 3368.2000 n0 n195 243 N n0->n195
37046.3000 e123 685553 1 479.3000 p208 p203 292 N p208->p203
37080.5000 w983 712269 1 8159.5000 n26 n155 164 N n26->n155
37104.8000 e124 887823 1 287.8000 p202 p205 295 N p202->p205
37470.8000 w1182 684443 1 2653.8000 n171 n19 255 N n171->n19
37607.7000 w1107 923226 1 5048.7000 n98 n110 215 N n98->n110
37786.4000 w1040 669982 1 7188.4000 n16 n80 180 N n16->n80
37838.6000 w1209 681413 1 2211.6000 n57 n151 263 N n57->n151
37843.6000 w943 542507 1 10092.6000 n25 n86 131 N n25->n86
37960.1000 w992 866692 1 8768.1000 n146 n7 153 N n146->n7
38067.8000 w1039 918023 1 7497.8000 n85 n94 175 N n85->n94
38071.8000 w1129 942295 1 4856.8000 n147 n32 219 N n147->n32
38093.7000 w1106 550822 1 5561.7000 n122 n94 207 N n122->n94
38167.4000 w740 722610 1 16346.4000 n80 n154 27 N n80->n154
38182.2000 w969 837992 1 9681.2000 n148 n192 138 N n148->n192
38294.1000 w1169 560825 1 3860.1000 n80 n58 235 N n80->n58
38295.4000 w1205 648298 1 2791.4000 n171 n178 253 N n171->n178
38341.3000 w822 663672 1 14109.3000 n163 n112 64 N n163->n112
38345.2000 w782 973647 1 15275.2000 n112 n163 45 N n112->n163
38408.7000 e119 735985 1 2928.7000 p205 p208 251 N p205->p208
38457.3000 w838 995936 1 13765.3000 n63 n71 70 N n63->n71
38479.6000 w893 639622 1 12188.6000 n156 n147 96 N n156->n147
38594.2000 e127 863571 1 912.2000 p205 p202 284 N p205->p202
38610.5000 w1251 899853 1 1698.5000 n151 n158 271 N n151->n158
38634.3000 w1295 771518 1 470.3000 n162 n62 292 N n162->n62
38671.7000 w1105 821216 1 6165.7000 n171 n150 197 N n171->n150
38673.8000 w1200 787536 1 3327.8000 n184 n117 244 N n184->n117
38753.6000 w770 536999 1 16045.6000 n120 n53 32 N n120->n53
39173.2000 w1289 668556 1 1183.2000 n172 n103 280 N n172->n103
39185.5000 w1053 634620 1 8205.5000 n19 n16 163 N n19->n16
39189.2000 w891 917093 1 12953.2000 n19 n16 84 N n19->n16
39189.4000 e104 970673 1 8347.4000 p204 p205 160 N p204->p205
39317.5000 e130 545351 1 717.5000 p201 p203 288 N p201->p203
39468.5000 e121 694262 1 3443.5000 p201 p203 242 N p201->p203
39574.1000 e129 545079 1 1243.1000 p202 p204 279 N p202->p204
39576.6000 e125 621013 1 2481.6000 p204 p202 258 N p204->p202
39661.4000 w1283 844557 1 1841.4000 n44 n167 269 N n44->n167
39822.2000 w1191 970858 1 4750.2000 n0 n6 220 N n0->n6
39886.1000 w1045 805737 1 9135.1000 n193 n76 147 N n193->n76
39887.1000 w1282 844120 1 2095.1000 n62 n6 265 N n62->n6
39896.9000 e131 704445 1 1005.9000 p205 p206 283 N p205->p206
39926.9000 w1065 595704 1 8577.9000 n59 n15 157 N n59->n15
39962.7000 w791 570838 1 16627.7000 n126 n67 22 N n126->n67
39962.8000 w865 864331 1 14484.8000 n0 n33 58 N n0->n33
40264.7000 e132 605851 1 1083.7000 p203 p205 281 N p203->p205
40338.0000 w1151 554156 1 6446.0000 n43 n171 192 N n43->n171
40339.5000 w1120 905599 1 7392.5000 n121 n179 176 N n121->n179
40354.8000 w809 675936 1 16500.8000 n93 n161 24 N n93->n161
40419.6000 w944 637553 1 12641.6000 n148 n139 89 N n148->n139
40549.1000 e136 559360 1 138.1000 p203 p202 297 N p203->p202
40571.9000 w830 857739 1 16108.9000 n10 n31 31 N n10->n31
40661.8000 w1014 833900 1 10820.8000 n2 n151 119 N n2->n151
40678.5000 w1162 666379 1 6459.5000 n49 n113 192 N n49->n113
40704.6000 w868 502451 1 15138.6000 n74 n25 47 N n74->n25
40990.0000 e138 749687 1 3.0000 p201 p203 299 N p201->p203
41027.3000 w977 895883 1 12291.3000 n8 n77 95 N n8->n77
41120.6000 e126 934406 1 3770.6000 p202 p200 237 N p202->p200
41172.1000 w1272 832003 1 3665.1000 n149 n10 238 N n149->n10
41189.2000 w1317 716902 1 2387.2000 n196 n93 260 N n196->n93
41211.6000 w1310 938507 1 2605.6000 n82 n47 256 N n82->n47
41227.4000 w1246 873934 1 4468.4000 n105 n56 225 N n105->n56
41246.8000 w885 980768 1 15184.8000 n110 n156 46 N n110->n156
41280.9000 w1358 693005 1 1285.9000 n128 n39 278 N n128->n39
41366.0000 w1331 985682 1 2170.0000 n175 n138 263 N n175->n138
41372.9000 w1319 562714 1 2511.9000 n13 n138 258 N n13->n138
41438.4000 w1313 937207 1 2755.4000 n65 n176 254 N n65->n176
41449.9000 w1267 979741 1 4082.9000 n185 n126 231 N n185->n126
41545.9000 w1244 608627 1 4850.9000 n67 n14 219 N n67->n14
41629.1000 e140 542116 1 7.1000 p200 p208 299 N p200->p208
41709.8000 w986 737898 1 12695.8000 n147 n81 88 N n147->n81
41762.2000 w1025 944439 1 11601.2000 n4 n140 106 N n4->n140
41808.0000 w872 953186 1 16126.0000 n73 n171 31 N n73->n171
41820.5000 w1361 960673 1 1743.5000 n131 n142 270 N n131->n142
41974.9000 w1406 514817 1 573.9000 n41 n112 290 N n41->n112
42043.6000 e139 944437 1 735.6000 p206 p203 287 N p206->p203
42100.5000 w1096 974911 1 9842.5000 n116 n186 135 N n116->n186
42375.4000 e128 916998 1 4364.4000 p208 p204 227 N p208->p204
42387.1000 w1104 851070 1 9912.1000 n5 n35 134 N n5->n35
42394.0000 w1321 706704 1 3480.0000 n180 n183 242 N n180->n183
42570.1000 w1119 800204 1 9650.1000 n2 n18 139 N n2->n18
42583.9000 w840 506338 1 17836.9000 n81 n54 2 N n81->n54
42637.1000 w1021 558875 1 12593.1000 n108 n163 90 N n108->n163
42702.7000 w1038 696331 1 12161.7000 n134 n71 97 N n134->n71
42714.9000 w879 659448 1 16835.9000 n155 n196 19 N n155->n196
42777.0000 w1148 775304 1 8975.0000 n183 n30 150 N n183->n30
42931.4000 w931 627936 1 15538.4000 n79 n54 41 N n79->n54
43197.9000 e144 519015 1 412.9000 p205 p203 293 N p205->p203
